age,survivors_lx,deaths_dx,mortality_rate_qx,central_death_rate_mx,survival_probability_px,person_years_lived_Lx,total_future_years_Tx,life_expectancy_ex,std_error_life_expectancy,sex
79,63996,2785,0.04351,0.00132,0.95649,62604,620917,9.7,0.04,male
80,61212,2958,0.04832,0.00145,0.95168,59733,558313,9.12,0.04,male
81,58254,3128,0.0537,0.00159,0.9463,56690,498580,8.56,0.04,male
82,55126,3292,0.05971,0.00176,0.94029,53480,441890,8.02,0.04,male
83,51834,3445,0.06646,0.00191,0.93354,50112,388410,7.49,0.04,male
84,48389,3581,0.07401,0.00212,0.92599,46599,338299,6.99,0.04,male
85,44808,3696,0.08249,0.00235,0.91751,42960,291700,6.51,0.04,male
86,41112,3783,0.09201,0.00258,0.90799,39220,248740,6.05,0.04,male
87,37329,3834,0.1027,0.00287,0.8973,35412,209520,5.61,0.04,male
88,33496,3842,0.11471,0.00322,0.88529,31574,174107,5.2,0.04,male
89,29653,3802,0.12822,0.0037,0.87178,27752,142533,4.81,0.04,male
90,25851,3708,0.14344,0.00433,0.85656,23997,114781,4.44,0.04,male
91,22143,3546,0.16014,0.00496,0.83986,20370,90784,4.1,0.05,male
92,18597,3310,0.17797,0.0058,0.82203,16942,70414,3.79,0.05,male
93,15287,3010,0.19686,0.00688,0.80314,13783,53472,3.5,0.05,male
94,12278,2661,0.21676,0.00827,0.78324,10947,39689,3.23,0.06,male
95,9616,2311,0.24027,0.01001,0.75973,8461,28742,2.99,0.06,male
96,7306,1912,0.26169,0.01231,0.73831,6350,20281,2.78,0.07,male
97,5394,1531,0.28374,0.01522,0.71626,4629,13931,2.58,0.08,male
98,3864,1183,0.30625,0.01843,0.69375,3272,9302,2.41,0.09,male
99,2680,882,0.32901,0.02404,0.67099,2239,6030,2.25,0.11,male
100,1798,633,0.35182,0.03259,0.64818,1482,3790,2.11,0.13,male
101,1166,437,0.37445,0.04231,0.62555,947,2308,1.98,0.16,male
102,729,289,0.3967,0.05803,0.6033,585,1361,1.87,0.2,male
103,440,184,0.41838,0.07642,0.58162,348,776,1.76,0.25,male
104,256,112,0.43931,0.10644,0.56069,200,428,1.67,0.32,male
105,143,66,0.45936,0.15133,0.54064,111,229,1.59,0.41,male
106,78,37,0.4784,0.1902,0.5216,59,118,1.52,0.52,male
107,40,20,0.49633,0.24409,0.50367,30,59,1.46,0.68,male
108,20,10,0.51311,0.49621,0.48689,15,29,1.41,0.99,male
109,10,5,0.52869,0.40217,0.47131,7,14,1.37,0.74,male
110,5,5,1,0,0,6,6,1.34,…,male
0,100000,387,0.00387,0.00029,0.99613,99650,8432197,84.32,0.06,female
1,99613,22,0.00022,7e-05,0.99978,99601,8332547,83.65,0.06,female
2,99591,16,0.00016,6e-05,0.99984,99583,8232946,82.67,0.06,female
3,99575,13,0.00013,5e-05,0.99987,99571,8133363,81.68,0.06,female
4,99562,10,0.0001,4e-05,0.9999,99558,8033792,80.69,0.06,female
5,99552,9,9e-05,4e-05,0.99991,99548,7934235,79.7,0.06,female
6,99544,7,7e-05,4e-05,0.99993,99540,7834687,78.71,0.06,female
7,99536,7,7e-05,4e-05,0.99993,99533,7735146,77.71,0.06,female
8,99530,6,7e-05,4e-05,0.99993,99526,7635613,76.72,0.06,female
9,99523,6,6e-05,3e-05,0.99994,99520,7536087,75.72,0.06,female
10,99517,7,7e-05,4e-05,0.99993,99513,7436567,74.73,0.06,female
11,99510,7,7e-05,4e-05,0.99993,99506,7337054,73.73,0.06,female
12,99503,8,8e-05,4e-05,0.99992,99498,7237548,72.74,0.06,female
13,99494,10,0.0001,4e-05,0.9999,99489,7138049,71.74,0.06,female
14,99484,13,0.00013,5e-05,0.99987,99478,7038560,70.75,0.06,female
15,99471,17,0.00017,6e-05,0.99983,99463,6939083,69.76,0.06,female
16,99454,22,0.00022,7e-05,0.99978,99443,6839620,68.77,0.06,female
17,99432,26,0.00026,7e-05,0.99974,99418,6740177,67.79,0.06,female
18,99405,28,0.00028,7e-05,0.99972,99391,6640759,66.8,0.06,female
19,99377,28,0.00028,7e-05,0.99972,99363,6541368,65.82,0.05,female
20,99349,29,0.00029,7e-05,0.99971,99335,6442004,64.84,0.05,female
21,99320,30,0.0003,7e-05,0.9997,99306,6342669,63.86,0.05,female
22,99291,31,0.00031,7e-05,0.99969,99276,6243364,62.88,0.05,female
23,99260,32,0.00032,7e-05,0.99968,99244,6144088,61.9,0.05,female
24,99228,34,0.00034,7e-05,0.99966,99212,6044844,60.92,0.05,female
25,99195,35,0.00036,7e-05,0.99964,99177,5945632,59.94,0.05,female
26,99159,37,0.00038,8e-05,0.99962,99141,5846455,58.96,0.05,female
27,99122,39,0.0004,8e-05,0.9996,99102,5747315,57.98,0.05,female
28,99082,42,0.00042,8e-05,0.99958,99062,5648213,57.01,0.05,female
29,99041,44,0.00044,8e-05,0.99956,99019,5549151,56.03,0.05,female
30,98997,47,0.00047,8e-05,0.99953,98973,5450132,55.05,0.05,female
31,98950,49,0.0005,9e-05,0.9995,98926,5351159,54.08,0.05,female
32,98901,52,0.00052,9e-05,0.99948,98875,5252233,53.11,0.05,female
33,98849,54,0.00055,9e-05,0.99945,98822,5153358,52.13,0.05,female
34,98795,56,0.00057,9e-05,0.99943,98767,5054535,51.16,0.05,female
35,98739,59,0.00059,9e-05,0.99941,98710,4955768,50.19,0.05,female
36,98680,61,0.00062,0.0001,0.99938,98650,4857058,49.22,0.05,female
37,98619,64,0.00065,0.0001,0.99935,98587,4758409,48.25,0.05,female
